"resp_id";"set_id";"screen_1";"storage_1";"price_1";"screen_2";"storage_2";"price_2";"screen_3";"storage_3";"price_3";"selected";"rejected";"age";"gender"
9;3;10.5;256;599;9.7;512;799;12.9;64;949;1;3;29;"Male"
9;4;12.9;128;599;9.7;64;799;10.5;256;399;3;2;29;"Male"
9;5;12.9;256;949;10.5;64;399;9.7;512;799;2;3;29;"Male"
10;1;9.7;256;599;12.9;512;399;10.5;64;799;2;3;37;"Female"
10;2;9.7;512;399;12.9;256;599;10.5;64;799;2;3;37;"Female"
10;3;12.9;512;949;9.7;128;799;10.5;256;399;3;1;37;"Female"
10;4;9.7;64;949;10.5;256;799;12.9;512;599;2;1;37;"Female"
10;5;12.9;512;399;9.7;256;599;10.5;128;799;1;3;37;"Female"
11;1;10.5;512;949;9.7;64;799;12.9;256;399;3;2;31;"Female"
11;2;10.5;64;399;12.9;128;949;9.7;512;799;2;3;31;"Female"
11;3;9.7;512;799;12.9;64;599;10.5;256;949;3;2;31;"Female"
11;4;10.5;512;949;12.9;128;799;9.7;256;599;1;3;31;"Female"
11;5;12.9;256;949;9.7;512;399;10.5;64;799;1;3;31;"Female"
12;1;12.9;512;599;9.7;256;399;10.5;128;949;1;3;22;"Male"
12;2;10.5;256;399;12.9;512;799;9.7;64;949;1;3;22;"Male"
12;3;12.9;128;399;10.5;64;799;9.7;512;599;1;3;22;"Male"
12;4;10.5;512;599;12.9;256;799;9.7;128;399;1;3;22;"Male"
12;5;12.9;512;949;10.5;256;399;9.7;64;599;2;3;22;"Male"
13;1;9.7;64;399;12.9;256;799;10.5;128;599;2;1;46;"Female"
13;2;9.7;256;799;12.9;512;399;10.5;128;599;2;1;46;"Female"
13;3;12.9;256;799;10.5;64;399;9.7;128;949;2;3;46;"Female"
13;4;10.5;256;799;12.9;64;399;9.7;128;949;2;3;46;"Female"
13;5;10.5;256;949;12.9;128;399;9.7;512;799;1;3;46;"Female"
14;1;12.9;512;599;9.7;64;799;10.5;256;949;1;2;32;"Female"
14;2;9.7;64;599;10.5;256;799;12.9;128;949;2;1;32;"Female"
14;3;12.9;64;599;10.5;512;399;9.7;256;799;2;1;32;"Female"
14;4;12.9;256;949;9.7;512;599;10.5;128;799;3;2;32;"Female"
14;5;9.7;512;949;12.9;128;799;10.5;64;399;2;1;32;"Female"
15;1;9.7;64;399;10.5;128;599;12.9;512;949;2;1;37;"Male"
15;2;10.5;512;399;12.9;256;949;9.7;64;599;1;3;37;"Male"
15;3;10.5;64;949;9.7;512;399;12.9;256;799;3;1;37;"Male"
15;4;10.5;256;399;9.7;128;949;12.9;512;799;3;2;37;"Male"
15;5;12.9;512;949;10.5;128;399;9.7;256;599;2;1;37;"Male"
16;1;10.5;64;399;9.7;512;799;12.9;256;599;3;2;35;"Male"
16;2;9.7;512;799;10.5;128;399;12.9;256;949;2;1;35;"Male"
16;3;12.9;512;599;9.7;64;399;10.5;256;949;1;3;35;"Male"
16;4;12.9;128;799;9.7;512;599;10.5;64;949;1;3;35;"Male"
16;5;10.5;64;949;12.9;128;599;9.7;256;799;2;1;35;"Male"
17;1;10.5;256;799;12.9;128;599;9.7;64;399;1;3;43;"Male"
17;2;10.5;256;799;12.9;512;399;9.7;64;949;1;3;43;"Male"
17;3;12.9;128;399;9.7;64;599;10.5;512;949;1;2;43;"Male"
17;4;9.7;256;949;10.5;128;399;12.9;64;599;2;1;43;"Male"
17;5;10.5;128;599;9.7;256;949;12.9;512;399;3;2;43;"Male"
18;1;9.7;128;599;12.9;256;399;10.5;512;949;2;3;52;"Female"
18;2;9.7;64;399;10.5;256;799;12.9;128;599;2;1;52;"Female"
18;3;9.7;128;949;10.5;256;599;12.9;64;799;2;3;52;"Female"
18;4;9.7;128;599;12.9;512;949;10.5;64;399;3;1;52;"Female"
18;5;9.7;64;949;10.5;128;799;12.9;256;399;3;1;52;"Female"
19;1;10.5;128;949;9.7;512;799;12.9;256;399;3;2;28;"Male"
19;2;12.9;512;599;9.7;64;799;10.5;256;949;1;2;28;"Male"
19;3;12.9;256;399;10.5;512;949;9.7;128;799;1;3;28;"Male"
19;4;12.9;128;799;10.5;64;399;9.7;512;949;2;3;28;"Male"
19;5;12.9;128;949;9.7;512;599;10.5;64;399;3;1;28;"Male"
20;1;9.7;128;949;10.5;256;799;12.9;64;599;2;1;40;"Male"
20;2;9.7;512;599;12.9;128;949;10.5;64;799;1;3;40;"Male"
20;3;9.7;512;949;12.9;256;599;10.5;64;399;2;1;40;"Male"
20;4;10.5;128;399;12.9;256;599;9.7;512;799;2;1;40;"Male"
20;5;10.5;256;799;12.9;64;949;9.7;128;399;1;2;40;"Male"
21;1;10.5;512;949;12.9;64;799;9.7;128;599;1;2;21;"Female"
21;2;10.5;512;949;12.9;256;599;9.7;64;399;1;3;21;"Female"
21;3;12.9;256;799;10.5;512;399;9.7;64;599;2;3;21;"Female"
21;4;10.5;512;949;12.9;128;399;9.7;64;599;1;3;21;"Female"
21;5;12.9;64;399;9.7;256;799;10.5;128;949;1;2;21;"Female"
22;1;12.9;64;399;10.5;128;799;9.7;512;599;3;2;40;"Female"
22;2;10.5;128;799;9.7;256;599;12.9;64;949;2;3;40;"Female"
22;3;9.7;64;949;12.9;128;399;10.5;512;599;3;1;40;"Female"
22;4;10.5;512;399;12.9;64;949;9.7;128;599;1;3;40;"Female"
22;5;9.7;128;949;10.5;256;599;12.9;64;399;2;1;40;"Female"
23;1;12.9;512;949;10.5;64;799;9.7;256;399;1;2;49;"Male"
23;2;12.9;512;949;9.7;256;599;10.5;64;399;1;2;49;"Male"
23;3;12.9;256;399;9.7;512;599;10.5;128;799;1;2;49;"Male"
23;4;10.5;128;599;12.9;256;399;9.7;64;949;2;3;49;"Male"
23;5;9.7;64;599;10.5;512;799;12.9;256;949;3;1;49;"Male"
24;1;9.7;512;949;10.5;256;799;12.9;128;599;3;1;47;"Male"
24;2;9.7;256;799;12.9;64;599;10.5;512;949;3;2;47;"Male"
24;3;12.9;128;799;10.5;512;599;9.7;64;949;1;3;47;"Male"
24;4;10.5;64;599;12.9;256;949;9.7;512;799;2;3;47;"Male"
24;5;9.7;128;949;10.5;64;799;12.9;256;599;3;1;47;"Male"
25;1;9.7;128;799;10.5;512;599;12.9;256;949;2;3;46;"Male"
25;2;12.9;256;599;9.7;64;799;10.5;512;949;3;2;46;"Male"
25;3;12.9;512;399;9.7;128;599;10.5;256;799;1;2;46;"Male"
25;4;9.7;256;799;12.9;128;599;10.5;512;399;3;1;46;"Male"
25;5;10.5;128;799;9.7;256;399;12.9;64;599;3;2;46;"Male"
26;1;12.9;128;799;10.5;256;949;9.7;512;599;3;2;36;"Male"
26;2;12.9;256;949;10.5;128;599;9.7;64;399;1;3;36;"Male"
26;3;9.7;64;599;10.5;512;949;12.9;256;399;3;1;36;"Male"
26;4;10.5;256;399;12.9;64;599;9.7;128;949;1;3;36;"Male"
26;5;10.5;128;799;9.7;64;949;12.9;256;599;3;2;36;"Male"
27;1;10.5;512;399;9.7;256;949;12.9;64;599;1;2;49;"Female"
27;2;10.5;512;399;12.9;128;949;9.7;256;799;1;2;49;"Female"
27;3;12.9;64;399;10.5;256;949;9.7;512;799;2;1;49;"Female"
27;4;12.9;512;399;9.7;256;799;10.5;64;599;1;2;49;"Female"
27;5;10.5;64;599;12.9;256;949;9.7;512;799;1;3;49;"Female"
28;1;10.5;64;399;12.9;128;949;9.7;512;599;1;2;37;"Female"
28;2;10.5;512;949;12.9;128;399;9.7;256;599;1;3;37;"Female"
28;3;10.5;128;949;9.7;256;399;12.9;64;799;3;1;37;"Female"
28;4;9.7;128;949;10.5;64;599;12.9;256;799;3;1;37;"Female"
28;5;12.9;256;799;9.7;128;599;10.5;512;949;1;2;37;"Female"
29;1;12.9;128;799;9.7;256;599;10.5;512;399;3;2;43;"Male"
29;2;9.7;256;799;12.9;128;949;10.5;512;399;3;2;43;"Male"
29;3;9.7;256;399;12.9;512;949;10.5;64;599;1;3;43;"Male"
29;4;10.5;64;799;9.7;128;599;12.9;512;949;3;1;43;"Male"
29;5;10.5;256;399;12.9;512;949;9.7;128;799;2;3;43;"Male"
30;1;9.7;128;799;10.5;512;399;12.9;256;599;2;1;42;"Female"
30;2;9.7;128;399;12.9;256;949;10.5;512;599;2;1;42;"Female"
30;3;9.7;256;399;10.5;64;799;12.9;512;949;1;2;42;"Female"
30;4;12.9;128;949;10.5;256;599;9.7;512;399;2;1;42;"Female"
30;5;9.7;256;399;12.9;128;799;10.5;64;599;1;3;42;"Female"
31;1;10.5;128;399;12.9;64;799;9.7;256;599;1;3;44;"Female"
31;2;10.5;64;599;12.9;512;399;9.7;128;949;2;3;44;"Female"
31;3;9.7;256;949;12.9;128;799;10.5;64;599;1;2;44;"Female"
31;4;9.7;64;799;10.5;256;599;12.9;128;399;2;1;44;"Female"
31;5;9.7;512;799;12.9;256;599;10.5;128;949;2;3;44;"Female"
32;1;12.9;512;949;10.5;128;799;9.7;64;599;2;3;23;"Female"
32;2;9.7;64;949;10.5;512;399;12.9;256;799;2;1;23;"Female"
32;3;12.9;256;949;9.7;64;599;10.5;128;799;1;2;23;"Female"
32;4;10.5;64;399;9.7;256;949;12.9;128;599;2;1;23;"Female"
32;5;12.9;256;949;9.7;64;799;10.5;512;599;3;2;23;"Female"
33;1;10.5;64;599;12.9;512;799;9.7;128;949;2;3;47;"Male"
33;2;12.9;64;599;9.7;512;949;10.5;256;399;3;1;47;"Male"
33;3;9.7;64;599;10.5;128;949;12.9;512;399;3;1;47;"Male"
33;4;10.5;64;399;9.7;128;949;12.9;512;599;3;2;47;"Male"
33;5;12.9;64;949;9.7;128;799;10.5;512;599;1;2;47;"Male"
34;1;9.7;128;949;12.9;512;399;10.5;64;799;2;1;21;"Female"
34;2;9.7;128;599;10.5;256;949;12.9;512;399;2;1;21;"Female"
34;3;10.5;512;799;9.7;128;399;12.9;64;599;1;2;21;"Female"
34;4;9.7;128;949;12.9;256;399;10.5;64;599;2;1;21;"Female"
34;5;9.7;256;799;12.9;128;399;10.5;512;949;3;1;21;"Female"
35;1;12.9;128;949;10.5;512;399;9.7;256;599;2;1;31;"Female"
35;2;12.9;512;799;10.5;64;949;9.7;128;399;1;3;31;"Female"
35;3;12.9;512;599;9.7;256;399;10.5;128;799;1;3;31;"Female"
35;4;10.5;128;949;9.7;256;799;12.9;64;399;3;1;31;"Female"
35;5;10.5;256;399;9.7;64;599;12.9;128;799;1;2;31;"Female"
36;1;10.5;512;599;12.9;128;949;9.7;64;799;1;3;20;"Male"
36;2;9.7;128;799;10.5;64;399;12.9;512;949;3;1;20;"Male"
36;3;12.9;256;949;10.5;128;599;9.7;512;399;3;1;20;"Male"
36;4;10.5;256;949;12.9;512;599;9.7;64;399;2;3;20;"Male"
36;5;12.9;256;599;10.5;64;949;9.7;512;799;1;2;20;"Male"
37;1;9.7;512;799;10.5;256;949;12.9;64;599;1;3;26;"Female"
37;2;9.7;512;799;10.5;256;949;12.9;64;399;3;1;26;"Female"
37;3;10.5;128;399;12.9;64;949;9.7;256;799;1;2;26;"Female"
37;4;9.7;128;599;10.5;512;799;12.9;256;399;3;1;26;"Female"
37;5;10.5;64;399;12.9;128;949;9.7;512;799;1;2;26;"Female"
38;1;9.7;128;599;10.5;512;399;12.9;256;799;2;1;20;"Male"
38;2;12.9;128;399;10.5;512;949;9.7;256;799;2;3;20;"Male"
38;3;10.5;256;599;9.7;512;799;12.9;64;949;1;3;20;"Male"
38;4;12.9;512;399;10.5;64;599;9.7;128;799;1;2;20;"Male"
38;5;10.5;128;599;9.7;512;399;12.9;64;949;2;1;20;"Male"
39;1;9.7;64;949;12.9;256;599;10.5;512;799;3;1;25;"Male"
39;2;12.9;256;949;10.5;64;799;9.7;512;399;1;2;25;"Male"
39;3;12.9;64;949;9.7;256;599;10.5;512;399;3;1;25;"Male"
39;4;12.9;64;599;9.7;128;399;10.5;512;799;3;1;25;"Male"
39;5;12.9;256;599;10.5;128;399;9.7;64;949;2;3;25;"Male"
40;1;9.7;128;399;12.9;64;949;10.5;512;799;3;2;18;"Female"
40;2;10.5;128;799;12.9;256;599;9.7;64;399;1;3;18;"Female"
40;3;9.7;128;599;12.9;256;799;10.5;512;399;2;1;18;"Female"
40;4;10.5;64;599;12.9;128;949;9.7;512;399;3;1;18;"Female"
40;5;12.9;64;599;9.7;256;399;10.5;128;799;2;1;18;"Female"
41;1;10.5;512;399;9.7;64;949;12.9;256;599;1;2;20;"Female"
41;2;9.7;512;799;12.9;64;599;10.5;128;399;3;1;20;"Female"
41;3;12.9;256;799;10.5;128;399;9.7;64;599;2;3;20;"Female"
41;4;10.5;512;399;9.7;64;799;12.9;256;599;1;2;20;"Female"
41;5;9.7;512;799;10.5;256;599;12.9;128;399;2;3;20;"Female"
42;1;9.7;128;599;10.5;64;799;12.9;256;949;3;2;32;"Female"
42;2;12.9;128;949;9.7;256;599;10.5;64;399;3;1;32;"Female"
42;3;12.9;128;399;10.5;512;599;9.7;64;799;2;3;32;"Female"
42;4;9.7;512;949;10.5;256;399;12.9;64;799;2;1;32;"Female"
42;5;12.9;64;599;10.5;256;799;9.7;128;399;1;3;32;"Female"
43;1;10.5;256;799;12.9;128;399;9.7;64;949;2;3;45;"Female"
43;2;9.7;256;949;12.9;128;599;10.5;64;399;3;1;45;"Female"
43;3;9.7;128;399;10.5;64;949;12.9;256;599;3;2;45;"Female"
43;4;12.9;128;599;9.7;256;949;10.5;512;399;3;2;45;"Female"
43;5;10.5;256;799;12.9;512;949;9.7;64;599;2;3;45;"Female"
44;1;12.9;128;799;9.7;512;599;10.5;64;949;2;1;47;"Female"
44;2;9.7;64;949;12.9;512;599;10.5;128;399;3;1;47;"Female"
44;3;9.7;512;399;12.9;128;799;10.5;256;949;1;2;47;"Female"
44;4;10.5;64;949;9.7;128;399;12.9;256;599;3;1;47;"Female"
44;5;10.5;64;949;12.9;128;599;9.7;512;399;2;1;47;"Female"
45;1;12.9;256;599;10.5;128;949;9.7;64;799;1;3;30;"Male"
45;2;12.9;128;799;10.5;512;949;9.7;256;599;2;1;30;"Male"
45;3;10.5;128;949;9.7;64;399;12.9;256;799;1;2;30;"Male"
45;4;10.5;128;949;12.9;256;799;9.7;64;599;2;3;30;"Male"
45;5;12.9;256;799;10.5;512;599;9.7;64;949;1;3;30;"Male"
46;1;9.7;64;949;10.5;512;599;12.9;256;399;2;1;23;"Male"
46;2;9.7;512;799;10.5;256;399;12.9;64;599;2;3;23;"Male"
46;3;10.5;128;799;12.9;256;949;9.7;64;599;2;3;23;"Male"
46;4;12.9;64;799;10.5;512;399;9.7;128;949;2;3;23;"Male"
46;5;12.9;128;399;9.7;64;599;10.5;256;799;1;2;23;"Male"
47;1;10.5;256;599;12.9;64;799;9.7;512;399;1;2;41;"Female"
47;2;12.9;256;799;9.7;128;949;10.5;512;399;3;2;41;"Female"
47;3;9.7;512;399;10.5;128;799;12.9;256;599;3;1;41;"Female"
47;4;12.9;256;949;10.5;512;799;9.7;128;599;2;3;41;"Female"
47;5;9.7;512;799;12.9;64;599;10.5;128;399;1;2;41;"Female"
48;1;10.5;64;799;12.9;512;599;9.7;256;949;2;1;52;"Female"
48;2;12.9;512;799;9.7;256;399;10.5;64;599;1;3;52;"Female"
48;3;10.5;128;599;12.9;256;799;9.7;64;399;2;3;52;"Female"
48;4;9.7;128;599;12.9;64;799;10.5;256;399;3;1;52;"Female"
48;5;10.5;64;599;9.7;512;799;12.9;128;399;3;2;52;"Female"
49;1;9.7;128;399;10.5;256;949;12.9;64;799;2;3;47;"Male"
49;2;9.7;128;799;10.5;512;599;12.9;256;949;3;1;47;"Male"
49;3;10.5;512;949;9.7;64;399;12.9;128;799;1;2;47;"Male"
49;4;10.5;64;399;9.7;256;949;12.9;512;599;3;2;47;"Male"
49;5;10.5;128;399;12.9;256;949;9.7;512;599;1;2;47;"Male"
50;1;10.5;64;799;9.7;256;399;12.9;512;599;2;1;40;"Male"
50;2;9.7;64;949;12.9;512;599;10.5;128;799;2;1;40;"Male"
50;3;10.5;128;799;12.9;256;399;9.7;64;599;1;3;40;"Male"
50;4;10.5;64;599;9.7;512;799;12.9;256;399;3;1;40;"Male"
50;5;12.9;128;599;9.7;64;949;10.5;512;399;3;2;40;"Male"
51;1;12.9;256;399;9.7;128;799;10.5;512;949;3;2;51;"Male"
51;2;12.9;64;949;10.5;128;599;9.7;512;399;2;1;51;"Male"
51;3;10.5;512;799;9.7;256;949;12.9;128;599;1;2;51;"Male"
51;4;9.7;512;949;12.9;128;399;10.5;256;799;1;2;51;"Male"
51;5;12.9;64;599;10.5;128;949;9.7;256;399;2;1;51;"Male"
52;1;9.7;256;949;12.9;512;399;10.5;128;799;2;3;32;"Male"
52;2;10.5;256;949;9.7;128;599;12.9;512;799;1;2;32;"Male"
52;3;10.5;64;399;12.9;512;949;9.7;256;599;2;1;32;"Male"
52;4;10.5;128;399;12.9;64;949;9.7;256;599;1;2;32;"Male"
52;5;10.5;64;599;12.9;512;949;9.7;256;799;2;1;32;"Male"
53;1;12.9;512;399;10.5;64;799;9.7;256;949;1;3;18;"Female"
53;2;9.7;256;799;10.5;128;399;12.9;64;599;2;3;18;"Female"
53;3;10.5;64;599;12.9;512;399;9.7;128;949;2;3;18;"Female"
53;4;12.9;512;399;10.5;128;949;9.7;64;799;1;3;18;"Female"
53;5;9.7;256;599;10.5;64;399;12.9;128;949;2;1;18;"Female"
54;1;9.7;128;949;12.9;64;799;10.5;512;399;3;1;43;"Female"
54;2;12.9;64;799;9.7;128;599;10.5;512;399;3;1;43;"Female"
54;3;10.5;64;799;9.7;256;599;12.9;128;949;3;1;43;"Female"
54;4;12.9;128;599;9.7;512;399;10.5;64;799;1;2;43;"Female"
54;5;12.9;64;799;10.5;128;399;9.7;512;949;2;1;43;"Female"
55;1;9.7;128;599;12.9;64;799;10.5;256;399;3;1;30;"Female"
55;2;9.7;64;949;10.5;256;799;12.9;128;599;3;1;30;"Female"
55;3;12.9;256;399;9.7;128;599;10.5;512;949;1;2;30;"Female"
55;4;9.7;512;799;10.5;64;949;12.9;128;599;2;3;30;"Female"
55;5;10.5;256;799;12.9;128;399;9.7;512;949;2;3;30;"Female"
56;1;12.9;64;599;9.7;128;399;10.5;256;799;3;2;26;"Male"
56;2;10.5;128;799;9.7;512;599;12.9;64;399;1;2;26;"Male"
56;3;12.9;256;949;9.7;512;599;10.5;128;399;3;1;26;"Male"
56;4;10.5;128;799;12.9;256;399;9.7;512;949;2;3;26;"Male"
56;5;10.5;128;399;9.7;512;949;12.9;64;599;1;2;26;"Male"
57;1;9.7;256;399;10.5;128;799;12.9;512;599;3;2;28;"Male"
57;2;12.9;128;949;9.7;512;799;10.5;64;599;1;2;28;"Male"
57;3;12.9;64;599;10.5;256;399;9.7;512;949;2;3;28;"Male"
57;4;9.7;512;799;10.5;128;949;12.9;64;599;2;1;28;"Male"
57;5;10.5;128;599;12.9;512;799;9.7;256;949;2;3;28;"Male"
58;1;9.7;512;949;10.5;128;399;12.9;64;799;3;2;26;"Female"
58;2;9.7;128;799;12.9;512;599;10.5;64;399;2;1;26;"Female"
58;3;10.5;64;799;9.7;256;399;12.9;128;949;2;3;26;"Female"
58;4;9.7;64;949;10.5;256;599;12.9;512;799;2;1;26;"Female"
58;5;9.7;256;949;10.5;128;599;12.9;512;799;2;1;26;"Female"
59;1;9.7;64;599;10.5;512;799;12.9;256;949;2;1;47;"Female"
59;2;12.9;512;399;10.5;64;949;9.7;128;799;1;2;47;"Female"
59;3;10.5;256;799;9.7;64;949;12.9;512;399;3;2;47;"Female"
59;4;9.7;128;799;10.5;512;599;12.9;256;399;3;1;47;"Female"
59;5;10.5;512;399;12.9;64;799;9.7;128;599;1;3;47;"Female"
60;1;12.9;128;399;9.7;512;949;10.5;256;599;3;2;20;"Male"
60;2;9.7;256;949;12.9;128;399;10.5;512;599;3;2;20;"Male"
60;3;12.9;512;599;10.5;128;399;9.7;64;949;1;3;20;"Male"
60;4;9.7;64;949;10.5;128;599;12.9;512;799;3;1;20;"Male"
60;5;9.7;512;399;12.9;64;799;10.5;128;949;1;2;20;"Male"
61;1;9.7;256;949;10.5;512;799;12.9;64;399;3;2;21;"Female"
61;2;10.5;128;799;9.7;64;949;12.9;256;599;3;2;21;"Female"
61;3;12.9;128;949;9.7;64;399;10.5;512;599;3;2;21;"Female"
61;4;12.9;64;799;9.7;128;399;10.5;512;599;3;1;21;"Female"
61;5;9.7;64;399;10.5;128;599;12.9;512;799;3;1;21;"Female"
62;1;12.9;512;599;10.5;64;399;9.7;128;949;1;3;38;"Male"
62;2;10.5;64;949;9.7;128;599;12.9;256;399;3;1;38;"Male"
62;3;12.9;256;599;10.5;64;399;9.7;128;949;2;3;38;"Male"
62;4;10.5;512;949;9.7;256;599;12.9;128;799;3;2;38;"Male"
62;5;9.7;64;949;10.5;256;399;12.9;512;599;3;1;38;"Male"
63;1;9.7;128;799;10.5;256;399;12.9;64;949;2;1;45;"Male"
63;2;10.5;256;399;9.7;512;799;12.9;128;949;1;2;45;"Male"
63;3;9.7;128;949;12.9;64;799;10.5;256;399;3;2;45;"Male"
63;4;12.9;128;799;9.7;512;399;10.5;64;599;2;1;45;"Male"
63;5;10.5;256;399;12.9;512;599;9.7;128;799;2;3;45;"Male"
64;1;12.9;64;949;10.5;256;599;9.7;512;799;2;1;27;"Female"
64;2;10.5;256;949;9.7;64;799;12.9;128;599;1;2;27;"Female"
64;3;9.7;128;949;10.5;256;799;12.9;512;399;3;1;27;"Female"
64;4;10.5;64;949;9.7;128;599;12.9;256;799;3;1;27;"Female"
64;5;12.9;128;399;10.5;512;799;9.7;256;599;2;1;27;"Female"
65;1;12.9;256;799;9.7;64;399;10.5;512;599;3;2;34;"Male"
65;2;12.9;256;599;9.7;128;949;10.5;512;399;3;2;34;"Male"
65;3;10.5;256;399;12.9;128;599;9.7;512;799;1;3;34;"Male"
65;4;10.5;256;799;9.7;64;399;12.9;512;599;3;2;34;"Male"
65;5;12.9;512;399;9.7;64;949;10.5;128;799;1;2;34;"Male"
66;1;9.7;256;799;12.9;512;399;10.5;64;599;2;3;27;"Male"
66;2;12.9;64;599;10.5;128;799;9.7;256;399;2;1;27;"Male"
66;3;12.9;256;949;9.7;512;599;10.5;128;399;3;2;27;"Male"
66;4;10.5;256;399;9.7;512;949;12.9;64;599;1;2;27;"Male"
66;5;10.5;64;399;12.9;512;799;9.7;128;949;1;3;27;"Male"
67;1;9.7;64;799;10.5;256;399;12.9;128;949;2;1;33;"Male"
67;2;12.9;128;799;10.5;512;399;9.7;256;949;2;1;33;"Male"
67;3;12.9;256;799;10.5;128;949;9.7;64;399;1;3;33;"Male"
67;4;12.9;64;799;10.5;512;599;9.7;128;949;2;3;33;"Male"
67;5;10.5;64;949;12.9;128;599;9.7;256;799;3;1;33;"Male"
68;1;12.9;128;949;9.7;512;799;10.5;256;599;1;2;52;"Female"
68;2;12.9;256;799;9.7;64;599;10.5;128;949;1;2;52;"Female"
68;3;10.5;256;949;12.9;128;399;9.7;64;799;2;3;52;"Female"
68;4;10.5;64;399;9.7;128;799;12.9;512;599;3;2;52;"Female"
68;5;9.7;128;949;12.9;512;599;10.5;256;399;2;1;52;"Female"
69;1;10.5;512;399;12.9;64;799;9.7;256;949;1;3;44;"Male"
69;2;9.7;256;599;10.5;64;399;12.9;128;949;2;1;44;"Male"
69;3;9.7;256;799;10.5;128;599;12.9;512;399;3;2;44;"Male"
69;4;9.7;128;599;10.5;512;399;12.9;64;949;2;1;44;"Male"
69;5;12.9;256;799;9.7;512;599;10.5;64;399;2;3;44;"Male"
70;1;10.5;64;949;9.7;256;599;12.9;512;799;2;3;30;"Male"
70;2;9.7;128;599;10.5;256;949;12.9;512;799;2;1;30;"Male"
70;3;12.9;64;599;9.7;128;949;10.5;256;399;3;2;30;"Male"
70;4;9.7;64;399;10.5;128;799;12.9;256;599;2;1;30;"Male"
70;5;9.7;512;399;10.5;256;599;12.9;128;799;2;1;30;"Male"
71;1;12.9;128;949;10.5;64;399;9.7;512;599;2;3;54;"Male"
71;2;12.9;128;949;9.7;64;799;10.5;256;599;1;2;54;"Male"
71;3;12.9;512;949;10.5;64;799;9.7;128;599;1;3;54;"Male"
71;4;9.7;64;799;12.9;128;399;10.5;256;949;3;1;54;"Male"
